#Subsystem,Component,File,Purpose
#Note that for duplicates (where file moved components from old to new releases), new version is used and old
#version should be commented out or removed
graphics,bitgdi,bitgdi.dll,"Bitmapped graphics library"
graphics,fbserv,fbscli.dll,"Font & Bitmap server client-side library"
graphics,fbserv,fbserv.exe,"Font & Bitmap server"
graphics,fntstore,fntstr.dll,"Font store"
graphics,fonts,eon14.gdr,"Bitmap fonts file"
graphics,fonts,ncrbiu.ttf,"New courier bold italic truetype font"
graphics,fonts,ncrbru.ttf,"New courier bold truetype font"
graphics,fonts,ncrriu.ttf,"New courier italic truetype font"
graphics,fonts,ncrrru.ttf,"New courier regular truetype font"
graphics,fonts,ntmbiu.ttf,"New times bold italic truetype font"
graphics,fonts,ntmbru.ttf,"New times bold truetype font"
graphics,fonts,ntmriu.ttf,"New times italic truetype font"
graphics,fonts,ntmrru.ttf,"New times regular truetype font"
graphics,fonts,swabiu.ttf,"SwissA bold italic truetype font"
graphics,fonts,swabru.ttf,"SwissA bold truetype font"
graphics,fonts,swariu.ttf,"SwissA italic truetype font"
graphics,fonts,swarru.ttf,"SwissA regular truetype font"
graphics,fonts,unicode.gdr,"Full unicode bitmap fonts"
graphics,fonts,unicode_minus_cjk.gdr,"Unicode without CJK bitmap fonts"
graphics,fonts,unicode_most_basic.gdr,"Basic unicode bitmap fonts"
graphics,freetype,freetype.dll,"Freetype font rasterizer plug-in library"
graphics,gdi,gdi.dll,"Graphics base classes and support library"
graphics,gdi,linebreak.dll,"Line-break support"
graphics,keyclickref,keyclickref.dll,"Reference key-click plug-in library"
graphics,palette,palette.dll,"Dynamic palette support"
graphics,pdrstore,pdrprt.dll,"Printer port library"
graphics,pdrstore,pdrstr.dll,"Printer font store library"
graphics,printdrv,canon.pdr,"Canon printer driver command resource file"
graphics,printdrv,canon.r01,"Canon printer name resource file"
graphics,printdrv,canon.r10,"Canon printer name resource file"
graphics,printdrv,epson.pdr,"Epson printer driver command resource file"
graphics,printdrv,epson.r01,"Epson printer name resource file"
graphics,printdrv,epson.r10,"Epson printer name resource file"
graphics,printdrv,general.pdr,"General printer driver command resource file"
graphics,printdrv,general.r01,"General printer name resource file"
graphics,printdrv,general.r10,"General printer name resource file"
graphics,printdrv,pcl5.pdr,"HP PCL5 printer driver command resource file"
graphics,printdrv,pcl5.r01,"HP PCL5 printer name resource file"
graphics,printdrv,pcl5.r10,"HP PCL5 printer name resource file"
graphics,printdrv,canon.pdl,"Canon printer driver files"
graphics,printdrv,epson.pdl,"Epson printer driver files"
graphics,printdrv,general.pdl,"General printer driver files"
graphics,printdrv,pcl5.pdl,"HP PCL5 printer driver files"
graphics,screendriver,lcd.pdd,"LCD physical device driver"
graphics,screendriver,scdv.dll,"Low-level screen device driver library"
graphics,screendriver,video.ldd,"Logical screen device driver"
graphics,wserv,dlog.dll,"On-screen logging library"
graphics,wserv,dlogfl.dll,"File logging library"
graphics,wserv,dlogsr.dll,"Serial logging library"
graphics,wserv,profilerkeys.dll,"Window server profiling hotkeys library"
graphics,wserv,ws32.dll,"Window server client-side library"
graphics,wserv,wserv.exe,"Window server"
infra-red,irda,irda_fir.esk,"IrDA configuration file for fast IR"
infra-red,irda,irda_port1.esk,"IrDA configuration file for IR over physical port 1"
infra-red,irda,irda_port3.esk,"IrDA configuration file for IR over physical port 3"
infra-red,irda,ircomm.csy,"C32 plugin for serial port emulation over IR"
infra-red,irda,ircomm.rsc,"Resource file"
infra-red,irda,irda.prt,"Socket server IrDA protocol module"
infra-red,irda,irda_via_pod.prt,"Socket server IrDA configuration file for IR through IR pod (e.g. jeteye)"
infra-red,irda,irobex.dll,"Implementation of Object Exchange Protocol"
infra-red,irda,irtranp.dll,"Implementation of Infrared Transfer Picture protocol"
java-kvm-midp,kmidp,kmidrun.exe,"KVM plus preloaded classes for CLDC and MIDP plus all native side code"
java-kvm-midp,kmidp,midp.rsc,"Resources"
java-kvm-midp,kmidp,recjavamid.rdl,"Extras bar MIDlet app recognizer"
java-pjava-javaphone,javaphone,javaphone.jar,"Java side implementation of the JavaPhone APIs"
java-pjava-javaphone,javaphone,jaddressbook.dll,"Native side of addressbook support"
java-pjava-javaphone,javaphone,jcalendar.dll,"Native side of calendar support"
java-pjava-javaphone,javaphone,jcomm.dll,"Native side of serial comms support"
java-pjava-javaphone,javaphone,jdatagram.dll,"Native side of datagram support"
java-pjava-javaphone,javaphone,jetel.dll,"Native side of telephony support"
java-pjava-javaphone,javaphone,jhttps.dll,"Native side of https support"
java-pjava-javaphone,javaphone,jnievents.dll,"Native side event handler utils"
java-pjava-javaphone,javaphone,jpower.dll,"Native side of power management support"
java-pjava-javaphone,javaphone,jcalendarfilter.dll,"Server side plugin to support custom calendar searches"
java-pjava-midp,midp,cldc.jar,"Java side implementation of CLDC compatibility layer for pJava"
java-pjava-midp,midp,midp.jar,"Java side implementation of the MIDP APIs"
java-pjava-midp,midp,jmidp_events.dll,"Native side event handler utils"
java-pjava-midp,midp,jmidp_lcdui.dll,"Native side of MIDP UI support"
java-pjava-midp,midp,jmidp_rms.dll,"Native side of MIDP record store support"
java-pjava-midp,midp,midrun.exe,"Launcher used by the MIDlet app recognizer"
java-pjava,pjava,pjava.exe,"Command line launcher"
java-pjava,pjava,pjavai-reference.dll,"Virtual machine library including preloaded classes"
java-pjava,pjava,eikjava.dll,"Java embedding support library (used by web browser plugins)"
java-pjava,pjava,jawtimg.dll,"Generic image conversion library"
java-pjava,pjava,jawtimgc8.dll,"Optimised image conversion library for 8 bit displays"
java-pjava,pjava,rmiregistry.exe,"RMI configuration utility"
java-pjava,pjava,javarun.exe,"Launcher for use by recognizers"
java-pjava,pjava,recjava.rdl,"Class file recognizer"
java-pjava,pjava,recjavaapp.rdl,"Extras bar Java app recognizer"
java-pjava,pjava,eikjava.rsc,"Resources"
java-pjava,pjava,javarun.rsc,"Resources"
java-pjava,pjava,eikjava.mbm,"Icons"
java-pjava,pjava,awt.properties,"AWT config file"
java-pjava,pjava,appletviewer.properties,"Applet config file"
java-pjava,pjava,font.properties,"Font config file"
java-pjava,pjava,content-types.properties,"Content handler config file"
java-pjava,pjava,java.security,"Security config file"
java-pjava,pjava,classes-reference.zip,"Non-preloaded classes"
j2me,j2meruntime,kmidp20.exe,"KVM-based MIDP2 runtime executable for emulators"
j2me,j2meruntime,mmidp20.exe,"CLDC-HI MIDP2 runtime executable"
j2me,runtimeplugins,Lcdgr.dll,"Graphics and image code"
j2me,runtimeplugins,Lcdui.dll,"Test/Reference LCD UI code - should be replaced"
j2me,runtimeplugins,Midp2refnotifier.dll,"Utility reference notifier dialog for presenting unhandled J2me exceptions"
j2me,runtimeplugins,Midp2runtime.dll,"Provides reference call-back hooks to configure the runtime"
j2me,runtimeplugins,midp2domainpolicyfileparser.dll,"Utility module for parsing domain policy file"
j2me,runtimeplugins,midp2runtimesecuritypolicy.dll,"'Protection domain binding' module"
j2me,systemams,javaams.dll,"Application management module"
j2me,systemams,jsmspush.dll,"SMS push management"
j2me,systemams,midp2client.dll,"Client-side interface for recogniser"
j2me,systemams,midp2installerclient.dll,"MIDlet installer"
j2me,systemams,midp2proxyconnection.dll,"Proxy connection client-side interface"
j2me,systemams,midp2recognizer.rdl,"MIDlet recogniser plugin for the Apparc framework"
j2me,systemams,systemams.exe,"SystemAMS EXE wrapper - launches javaams.dll"
j2me,systemamsplugins,midp2http.dll,"HTTP support - customiseable/replaceable"
j2me,systemamsplugins,midp2ip.dll,"IP push module - customiseable/replaceable"
j2me,systemamsplugins,midp2protectiondomainbinding.dll,"Protection domain binding - customiseable/replaceable"
j2me,systemamsplugins,midp2securitypolicy.dll,"Static security policy module - customiseable/replaceable"
j2me,systemamsplugins,midp2systemamsconfig.dll,"Configuration module - customiseable/replaceable"
messaging,biomsg,cbcp.mbm,"BIO Compact Business Card bimap for UI"
messaging,biomsg,cbcp.rsc,"BIO Compact Business Card resource file"
messaging,biomsg,enp.mbm,"BIO Email Notification parser bitmap for UI"
messaging,biomsg,enp.rsc,"BIO Email Notification parser resource file"
messaging,biomsg,iacp.mbm,"BIO Internet Access Configuration bitmap for UI"
messaging,biomsg,iacp.rsc,"BIO Internet Access Configuration resource file"
messaging,biomsg,olp.mbm,"BIO operator logo picture bitmap for UI"
messaging,biomsg,olp.rsc,"BIO operator logo picture resource file"
messaging,biomsg,rtp.mbm,"BIO Ring tone parser bitmap for UI"
messaging,biomsg,rtp.rsc,"BIO Ring tone parser resource file"
messaging,biomsg,vcdp.mbm,"BIO VCard parser bitmap for UI"
messaging,biomsg,vcdp.rsc,"BIO VCard parser resource file"
messaging,biomsg,vclp.mbm,"BIO VCalendar parser bitmap for UI"
messaging,biomsg,vclp.rsc,"BIO VCalendar parser resource file"
messaging,biomsg,wapp.mbm,"BIO WAP Over The Air bitmap for UI"
messaging,biomsg,wapp.rsc,"BIO WAP Over The Air parser resource file"
messaging,biomsg,biomsg.sis,"BIO installation file. Not a ROM file. "
messaging,biomsg,biftool.exe,"Build tool to build BIO Information Files (which register BIO parsers) Not a ROM component"
messaging,biomsg,bifu.dll,"BIO utilties used by BIO database to read BIF files"
messaging,biomsg,bioc.dll,"BIO client MTM"
messaging,biomsg,biodb.dll,"BIO database "
messaging,biomsg,bios.dll,"BIO server MTM"
messaging,biomsg,biowatcher.dll,"Shared watcher utility code"
messaging,biomsg,biut.dll,"BIO utilities"
messaging,biomsg,cbcp.dll,"BIO Compact Business Card parser"
messaging,biomsg,enp.dll,"BIO Email Notification parser"
messaging,biomsg,gfp.dll,"BIO Generic File parser; supports VCard, VCalendar, Caller Line Identify (CLI) bitmaps and Operator Logo (OLP) bitmaps and Ring Tones (RTP)"
messaging,biomsg,iacp.dll,"BIO Internet Access Configuration parser (email settings and internet settings)"
messaging,biomsg,nbswatcher.dll,"Watcher that receives all SMS messages from SMS stack"
messaging,biomsg,wapp.dll,"BIO Nokia Ericsson Over The Air parser"
messaging,biomsg,wapwatcher.dll,"Watcher for receiving WDP/WSP BIO messages"
messaging,gmxml,smildtd.dll,"SMIL DTD support"
messaging,gmxml,xmldom.dll,"XML DOM support"
messaging,gmxml,xmlparser.dll,"XML parser"
messaging,mms,MmsNotifyRegistry.r01,"MMS notification UK resource file"
messaging,mms,MmsNotifyRegistry.r10,"MMS notification USA resource file"
messaging,mms,mmsapphandler.dll,"WAP Push plugin to handle MMS push message"
messaging,mms,mmscli.dll,"MMS client MTM"
messaging,mms,mmsclientmtm.dll,"MMS client MTM"
messaging,mms,mmscodec.dll,"MMS codec for encoding/decoding MMS messages"
messaging,mms,mmsenginestrings.r01,"MMS engine UK resource file"
messaging,mms,mmsenginestrings.r10,"MMS engine USA resource file"
messaging,mms,mmsgenutils.dll,"MMS engine utilties"
messaging,mms,mmsindhandler.dll,"Wap Push ECOM Plugin for handling MMS Acknowlegments"
messaging,mms,mmss.dll,"MMS server MTM"
messaging,mms,mmssettingsproxy.dll,"MMS settings proxy Ecom plug-in"
messaging,mms,mmssrv.dll,"MMS server MTM"
messaging,mms,mmsutil.dll,"MMS utilties"
messaging,mms,mmsutils.dll,"MMS utilities"
messaging,mms,mmswatcher.dll,"MMS watcher"
messaging,mms,wprpvp.r01,"BIO WAP/MMS provisioning parser UK resource file"
messaging,mms,wprpvp.r10,"BIO WAP/MMS provisioning parser USA resource file"
messaging,mms,wprvp.dll,"BIO WAP/MMS provisioning parser"
messaging,mms,wprvp.mbm,"BIO WAP/MMS provisioning parser bitmap for UI"
messaging,mms,xmlp.dll,"XML utilities for WAP PRV parser"
messaging,msg,gtfax.sis,"Installation file for FAX MTMs. Not a ROM file"
messaging,msg,gtimap.sis,"Installation file for IMAP MTMs. Not a ROM file"
messaging,msg,gtpop.sis,"Installation file for POP email MTMs. Not a ROM file"
messaging,msg,gtsms.sis,"Installation file for SMS MTMs. Not a ROM file"
messaging,msg,gtsmtp.sis,"Installation file for SMTP Email MTMs. Not a ROM file"
messaging,msg,msg.sis,"Installation file for message server. Not a ROM file"
messaging,msg,autosend.exe,"Executable that sends email when mail connection for POP/IMAP initiated"
messaging,msg,faxprnt2.pdl,"Fax rendering printer driver"
messaging,msg,faxprnt2.pdr,"Fax rendering printer driver"
messaging,msg,faxs.dll,"Fax server MTM"
messaging,msg,faxs.r01,"Fax MTM UK resource file"
messaging,msg,faxs.r10,"Fax MTM USA resource file"
messaging,msg,faxwatcher.dll,"Watcher that listens for incoming fax calls"
messaging,msg,fxcm.dll,"Fax client MTM"
messaging,msg,imcm.dll,"Email client MTMs (SMTP, POP3, IMAP4) and email client-side utilities"
messaging,msg,imcm.r01,"Email engine UK resource file"
messaging,msg,imcm.r10,"Email engine USA resource file"
#messaging,msg,imps.dll,"IMAP4 server MTM"
messaging,imps,imps.dll,"IMAP4 server MTM"
messaging,msg,imut.dll,"Email server-side utilities"
messaging,msg,msexe.exe,"Executable used to launch message server on ARM platform"
messaging,msg,msgs.dll,"The message server, and framework utilties"
messaging,msg,msgs.r01,"Message server UK resource file"
messaging,msg,msgs.r10,"Message server USA resource file"
messaging,msg,msgurlhandler.aif,"AIF file for above app (bitmaps, etc) (optional)"
messaging,msg,msgurlhandler.app,"URI resolver: Hidden app to launch editor for mail,fax & sms URI links (optional)"
messaging,msg,msgurlhandler.r01,"UK resource file for URI resolver app (optional)"
messaging,msg,msgurlhandler.r10,"USA resource file for URI resolver app (optional)"
messaging,msg,msgurlrec.mdl,"Recognizer for URI resolver app (optional)"
messaging,msg,mtmgen.exe,"Build tool to create MTM registry. Not a ROM file"
messaging,msg,mtur.dll,"Base classes for UI MTMs"
messaging,msg,pops.dll,"POP3 server MTM"
messaging,msg,schsend.dll,"Schedule sending utilties & framework"
messaging,msg,schsendexe.exe,"Executable that launches sending server MTM"
messaging,msg,send.dll,"Send As utility framework"
messaging,msg,smcm.dll,"SMS client MTM"
messaging,msg,smss.dll,"SMS server MTM"
messaging,msg,smss.r01,"SMS MTM UK resource file"
messaging,msg,smss.r10,"SMS MTM USA resource file"
messaging,msg,smts.dll,"SMTP email server MTM"
messaging,msg,watcher.exe,"Executable to start watchers"
messaging,obexmtm,btcmtm.dll,"Bluetooth client MTM for OBEX beaming"
messaging,obexmtm,btsmtm.dll,"Bluetooth server MTM"
messaging,obexmtm,irc.dll,"IrDA client MTM for OBEX beaming"
messaging,obexmtm,irs.dll,"IrDA server MTM"
messaging,obexmtm,obexclientmtm.dll,"Base classes for bluetooth and IR client MTMs"
messaging,obexmtm,obexmtmutil.dll,"Helper classes for bluetooth and IR MTMs"
messaging,obexmtm,obexservermtm.dll,"Base classes for bluetooth and IR server MTMs"
mm-server,mediasvr,mdaaudioplugin.sis,"Package file for audio plugin"
mm-server,mediasvr,mdadevimageplugin.sis,"Package file for extra image plugin"
mm-server,mediasvr,mdagenericplugin.sis,"Package file for generic objects plugin"
mm-server,mediasvr,mdagifplugin.sis,"Package file for gif plugin"
mm-server,mediasvr,mdagsm610plugin.sis,"Package file for GSM 6.10 plugin"
mm-server,mediasvr,mdaimageplugin.sis,"Package file for image plugin"
mm-server,mediasvr,mediaserver.sis,"Package file for media server"
mm-server,mediasvr,audioformats.mda,"Media Server plugin for common audio formats"
mm-server,mediasvr,audioformats.r01,"Media Server plugin resource file describing common audio format capabilities"
mm-server,mediasvr,audiostream.mda,"Media Server plugin for audio streaming output"
mm-server,mediasvr,audiostream.r01,"Media Server plugin resource file describing audio streaming output capabilities"
mm-server,mediasvr,devimageformats.mda,"Media Server plugin for extra image formats (png, tiff/f, wmf)"
mm-server,mediasvr,devimageformats.r01,"Media Server plugin resource file describing extra image format capabilities"
mm-server,mediasvr,generic.mda,"Media Server plugin for generic data handling objects"
mm-server,mediasvr,generic.r01,"Media Server plugin resource file describing generic data handling object capabilities"
mm-server,mediasvr,gifformat.mda,"Media Server plugin for gif formats"
mm-server,mediasvr,gifformat.r01,"Media Server plugin resource file describing gif format capabilities"
mm-server,mediasvr,gsm610.mda,"Media Server plugin for GSM6.10 format"
mm-server,mediasvr,gsm610.r01,"Media Server plugin resource file describing GSM 6.10 format capabilities"
mm-server,mediasvr,imageformats.mda,"Media Server plugin for common image formats"
mm-server,mediasvr,imageformats.r01,"Media Server plugin resource file describing common image format capabilities"
#mm-server,mediasvr,mediaclient.dll,"Generic client-side support library"
#mm-server,mediasvr,mediaclientaudio.dll,"Audio client-side support library"
#mm-server,mediasvr,mediaclientaudiostream.dll,"Streaming audio client-side support library"
#mm-server,mediasvr,mediaclientimage.dll,"Image client-side support library"
mm-server,mediasvr,mediaserver.dll,"Generic server-side support library"
mm-server,mediasvr,mediaserveraudio.dll,"Audio server-side support library"
mm-server,mediasvr,mediaserverjpeg.dll,"Jpeg server-side support library"
mm-server,mediasvr,mediaserverstub.exe,"Server startup executable"
mm-server,mediasvr,mediaservervideo.dll,"Image server-side support library"
mm-server,mediasvr,recmda.mdl,"Media server recogniser library"
mm-server,mediasvr,sounddevice.mda,"Media Server plugin for sound device"
mm-server,mediasvr,sounddevice.r01,"Media Server plugin resource file describing sound device capabilities"
#mm-server,mediasvr,esdrv.pdd,"Physical sound device driver"
#mm-server,mediasvr,esound.ldd,"Logical sound device driver"
multimedia,icl,bitmaptransforms.dll,"Scaling and rotation functionality library"
multimedia,icl,bmpcodec.dll,"BMP codec plugin"
multimedia,icl,gifcodec.dll,"GIF codec plugin"
multimedia,icl,icocodec.dll,"ICO codec plugin"
multimedia,icl,imageconversion.dll,"Image conversion library"
multimedia,icl,imageconversionresolver.dll,"Image file type resolver library"
multimedia,icl,jpegcodec.dll,"JPEG codec plugin"
multimedia,icl,jpegyuvdecoder.dll,"YUV conversion library"
multimedia,icl,mbmcodec.dll,"MBM codec plugin"
multimedia,icl,mediaclientimage.dll,"Media Server client-side compatibility library"
multimedia,icl,otacodec.dll,"SMS-OTA codec plugin"
multimedia,icl,pngcodec.dll,"PNG codec plugin"
multimedia,icl,recicl.mdl,"Image file format mime type recogniser for the Emime framework"
multimedia,icl,tiffcodec.dll,"TIFF/F codec plugin"
multimedia,icl,wbmpcodec.dll,"WAP BMP (WBMP) codec plugin"
multimedia,icl,wmfcodec.dll,"Windows Meta-File (WMF) codec plugin"
multimedia,mmf,audiocodecs.dll,"Reference software audio codec plugins"
multimedia,mmf,esdrv.pdd,"Physical sound device driver"
multimedia,mmf,esound.ldd,"Logical sound device driver"
multimedia,mmf,gsm610.dll,"GSM6.10 format and codec plugins"
multimedia,mmf,mediaclient.dll,"Generic Media Server client-side compatibility library"
multimedia,mmf,mediaclientaudio.dll,"Media Server audio compatibility library"
multimedia,mmf,mediaclientaudioinputstream.dll,"Audio input streaming client-side library"
multimedia,mmf,mediaclientaudiostream.dll,"Audio output streaming client-side library"
multimedia,mmf,mediaclientvideo.dll,"Video playback and recording client-side library"
multimedia,mmf,midiclient.dll,"MIDI client-side library"
multimedia,mmf,midistandardcustomcommands.dll,"MIDI custom-command framework library"
multimedia,mmf,mmfaudiocontroller.dll,"Reference audio controller plugin"
multimedia,mmf,mmfaudioinput.dll,"Audio record plugin"
multimedia,mmf,mmfaudiooutput.dll,"Audio playback plugin"
multimedia,mmf,mmfaudiopolicy.exe,"Audio policy server"
multimedia,mmf,mmfaudiopolicyproxy.dll,"Audio policy proxy plugin"
multimedia,mmf,mmfauformat.dll,"AU file format plugin"
multimedia,mmf,mmfcontrollerframework.dll,"MMF controller framework library"
multimedia,mmf,mmfdevsound.dll,"Audio hardware abstraction library"
multimedia,mmf,mmfrawformat.dll,"RAW audio file format plugin"
multimedia,mmf,mmfserverbaseclasses.dll,"MMF framework support library"
multimedia,mmf,mmfstandardcustomcommands.dll,"MMF custom-command framework library"
multimedia,mmf,mmfstdsourceandsinkplugin.dll,"MMF standard source and sink plugins"
multimedia,mmf,mmfwavformat.dll,"WAV file format plugin"
multimedia,mmf,recmmf.mdl,"MMF file format mime type recogniser"
nbprotocols,smsstack,gsmu.dll,"GSM utilities for encoding and decoding TPDUs"
nbprotocols,smsstack,sms.esk,"SMS esock configuration file"
nbprotocols,smsstack,smsprot.prt,"GSM SMS protocol stack, socket server plug-in"
nbprotocols,smsstack,smsu.dll,"SMS utilities for streaming and logging"
nbprotocols,smsstack,wap.esk,"WAP esock configuration file"
nbprotocols,smsstack,wapprot.prt,"WAP over SMS protocol stack, socket server plug-in"
networking,6to4,6to4.prt,"IPv6 transition mechanisms"
networking,csdagx,csd.agx,"Circuit switched agent extension plug-in for GennCon, for GSM and CDMA connectivity"
networking,csdagt,csd.agt,"Circuit-switched agent plug-in for the Comms-infras/Nifman framework, for GSM and CDMA connectivity"
networking,dialog,agentdialog.dll,"Dialog support within the Comms-infras/Nifman framework"
networking,dnd,dnd.exe,"Domain name daemon providing dynamic name resolution for hosts"
networking,eaysymb,eaysymb.prt,"Socket server plug-in protocol for interface to crypto libraries for Ipsec"
networking,ether802,arp.dll,"Implements Address Resolution Protocol (ARP)"
networking,ether802,dhcp.dll,"Dynamic Host Configuration Protocol (DHCP)"
networking,ether802,etherpkt.drv,"User side Ethernet protocol driver"
networking,ether802,ethint.nif,"Ethernet protocol plug-in module"
networking,ether802,irlan.drv,"User side IrLAN protocol driver"
networking,etheragx,etheragx.agx,"Ethernet agent extension for GennCon"
networking,etherdrv,ether3com.pdd,""
networking,etherdrv,ethercard.ldd,"Ethernet card logical device driver"
networking,etherdrv,ethersmc.pdd,"Physical device driver for SMC 91c96 Ethernet chip"
networking,ftp,ftp.exe,"FTP server"
networking,ftp,ftpprot.dll,"FTP protocol support"
networking,ftp,ftpsess.dll,"FTP session"
#networking,genconn,agentdialog.dll,""
networking,genconn,genconn.agt,"Generic connection agent for the Comms-infras/Nifman framework"
networking,gprsagx,gprs.agx,""
networking,gprstsy,gprs.rsc,""
networking,gprstsy,gprstsy.tsy,""
networking,guqos,guqos.prt,"GPRS/UMTS QoS protocol plug-in for socket server"
networking,ike,kmd.app,"Ike(key exchange for ipsec)"
networking,inetutil,ipconfig.exe,""
networking,inetutil,ping.exe,""
networking,inetutil,pingeng.dll,""
networking,inetutil,route.exe,""
networking,inetutil,tftp.exe,""
networking,inetutil,tftpeng.dll,""
networking,inetutil,tracert.exe,""
networking,inetutil,treng.dll,""
networking,inhook6,inhook6.dll,"IPV6 hook library"
networking,insock,insock.dll,"IPv6/v4 socket library"
networking,ipsec6,ipsec6.prt,"IPSec socket server protocol plug-in"
networking,ipsecapi,ipsecapi.dll,"IPSec API library"
networking,ipsecmanapi,ipsecmanapi.dll,"IPSec manager API library"
networking,ipsecmanserver,ipsecmanserver.exe,"Ipsec manager server"
networking,kmdserver,kmdapi.dll,"Key management daemon API library"
networking,kmdserver,kmdserver.exe,"Key management daemon server-side"
networking,mscomp,mscomp.dll,"PPP compression plug-in"
networking,netcon,netcon.dll,"Network controller library"
networking,pkcs5,Pkcs5.dll,"Private key encryption library"
networking,ppp,des.dll,"PPP encryption"
networking,ppp,ppp.nif,"PPP polymorphic interface implementation for Nifman"
networking,ppp,vjcomp.dll,"Van Jacobsen header compression"
networking,predcomp,predcomp.dll,"PPP RFC1978 compression plug-in"
networking,qos,qos.prt,"QoS framework protocol plug-in for socket server"
networking,qoslib,qoslib.dll,"QoS framework API for applications"
networking,scheduler,scheduler.dll,"Packet scheduler for QoS"
networking,secparser,secparser.dll,"Parsing utilities for IPSec"
networking,slip,slip.nif,"SLIP polymorphic interface implementation for Nifman"
networking,staccomp,staccomp.dll,"PPP Stac LZS Compression plug-in"
networking,tcpip,tcpip.esk,""
#networking,tcpip,insock.dll,""
networking,tcpip,ntras.agt,""
networking,tcpip,tcpip.prt,""
networking,tcpip6,tcpip6.prt,"IPv4/v6 protocol plug-in for socket server"
networking,telnet_e,telsess.dll,"Telnet session support"
networking,tls,secdlgsv.dll,"Secure dialog server"
networking,tls,securesocket.dll,"Secure socket API"
networking,tls,ssl.dll,"SSL 3.0 and TLS 1.0"
networking,tls,ssladaptor.dll,"Plug-in wrapper over ssl.dll for secure sockets framework"
networking,umtsapi,umtsapi.dll,"Extension QoS API library for UMTS"
networking,umtsif,umtsif.dll,"Interface routines between GUQoS and a QoS capable NIF"
security,appinst,insteng.dll,"The software installation engine"
security,appinst,insteng.mbw,""
security,appinst,insteng.mcl,""
security,appinst,insteng.rsc,""
security,appinst,instrec.exe,""
security,appinst,instsrv.dll,""
#security,appinst,recjar.mdl,""
security,certman,cacerts.dat,""
security,certman,asn1.dll,"ASN.1 Protocol Specification Language translation"
security,certman,certstore.dll,"Abstract secure certificate storage and root certificate management"
security,certman,crypto.dll,"Certificate management base classes and interface to crypto algorithms"
security,certman,filecertstore.dll,"Implements concrete certstore token interfaces"
security,certman,ocsp.dll,"Implements OCSP protocol"
security,certman,pkixcert.dll,"PKIX validation"
security,certman,reccert.mdl,"Certificate data-type recogniser for App-framework/Emime framework"
security,certman,wapcertstore.dll,"WAP certificate storage"
security,certman,wtlscert.dll,"Parsing of WTLS Class 3 certificates for WAP"
security,certman,x500.dll,"Parsing/matching X.500 distinguished names and X.520 selected attribute types"
security,certman,x509.dll,"Parsing of X.509 certificates"
security,cryptalg,bigint.dll,"Handles big integers"
security,cryptalg,cryptalg.dll,"Raw cryptography algorithms"
security,cryptalg,hash.dll,"Hash functions such as MD5, SHA1 and HMAC"
security,cryptalg,privkey.dll,"Private key support"
security,cryptalg,random.dll,"Pseudo-random number generator server, client-side"
security,cryptalg,randsvr.exe,"Pseudo-random number generator server"
security,cryptotokens,ctframework.dll,"Crypto token framework"
security,ezlib,ezip.dll,"ZIP compression and decompression"
security,ezlib,ezlib.dll,"zlib compression library"
security,ezlib,jar.dll,""
security,javamidletinstaller,apagenerator.dll,"Generates Application Architecture files from JAR and JAD files"
security,javamidletinstaller,jardownloader.dll,"Downloads JAR files from a URL or file spec"
security,javamidletinstaller,jarfiledecoder.dll,"Decoded JAR files"
security,javamidletinstaller,javahelper.dll,""
security,javamidletinstaller,javareader.dll,""
security,javamidletinstaller,javaregistry.dll,"Registry of installed Java applications"
security,javamidletinstaller,recjar.mdl,"Java archive file (JAR and JAD) recogniser for Emime framework"
security,javamidletinstaller,statusreportsender.dll,""
security,sisinstaller,installedappsregistry.dll,"Registry of installed applications"
security,sisinstaller,integritysupport.dll,""
security,sisinstaller,sisfile.dll,""
security,sisinstaller,sisregistry.dll,""
security,wim,wim.dll,""
security,wim,wimsvr.exe,""
security,wim,wmlscrypt.dll,""
ser-comms,c32,c32.dll,"Comms Server and API"
ser-comms,c32,c32exe.exe,"Comms server process start-up program"
ser-comms,c32,ecuart.csy,"C32 plug-in module for physical RS232 serial port"
ser-comms,c32,ecuart.rsc,"Resource file for physical RS232 serial port"
ser-comms,usb,ecacm.csy,"Comms server plug-in for USB"
ser-comms,usb,usbman.dll,"USB server"
telephony,cdmatsy,cdma.tsy,"CDMA 2-Box Test TSY"
telephony,dial,dial.dll,"Phone number resolver"
telephony,etel,etel.dll,"Telephony server and core API"
telephony,etel,faxcli.dll,"Fax client API"
telephony,etel,faxsvr.dll,"Fax server"
telephony,etel,gsmbas.dll,""
telephony,etel,hayes.rsc,""
telephony,etel,hayes.tsy,""
telephony,etelagsm,gsmadv.dll,""
telephony,etelgprs,etelgprs.dll,""
telephony,etelmm,etelmm.dll,"Multimode ETel API"
telephony,etelpckt,etelpckt.dll,"Multimode Packet API"
telephony,etelsat,etelsat.dll,"SIM Application toolkit"
telephony,faxio,faxio.dll,"Fax T4 encoding/decoding"
telephony,faxstrm,faxstrm.dll,"Fax streaming and storage"
telephony,gsmtsy,gsmbsc.rsc,""
telephony,gsmtsy,gsmbsc.tsy,""
telephony,mmtsy,mm.rsc,"GSM/GPRS 2-Box Reference TSY"
telephony,mmtsy,mm.tsy,"GSM/GPRS 2-Box Reference TSY"
telephony,phbksync,phbksyncplugin.dll,"Phonebook Synchroniser plug-in to Contacts Model"
